time,distance,velocity,mach,target_drop,drop_adj,windage,windage_adj,look_distance,angle,density_factor
0.000 s,0.0 m,900.0 km/h,0.73 mach,-98.481 mm,0.0000 °,0.000 mm,0.0000 °,0.0 m,13.8570 °,2.173e-05
0.378 s,90.0 m,863.3 km/h,0.70 mach,5453.852 mm,3.3798 °,0.000 mm,0.0000 °,91.4 m,13.0131 °,-2.036e-03
0.771 s,180.0 m,828.3 km/h,0.68 mach,9572.214 mm,2.9705 °,0.000 mm,0.0000 °,182.8 m,12.0961 °,-3.957e-03
1.178 s,270.0 m,795.0 km/h,0.65 mach,12144.079 mm,2.5166 °,0.000 mm,0.0000 °,274.2 m,11.1005 °,-5.722e-03
1.601 s,360.0 m,763.3 km/h,0.62 mach,13049.073 mm,2.0316 °,0.000 mm,0.0000 °,365.6 m,10.0199 °,-7.324e-03
2.041 s,450.0 m,733.1 km/h,0.60 mach,12158.370 mm,1.5171 °,0.000 mm,0.0000 °,456.9 m,8.8481 °,-8.752e-03
2.496 s,540.0 m,704.3 km/h,0.58 mach,9334.086 mm,0.9723 °,0.000 mm,0.0000 °,548.3 m,7.5782 °,-9.992e-03
2.969 s,630.0 m,677.0 km/h,0.55 mach,4428.586 mm,0.3962 °,0.000 mm,0.0000 °,639.7 m,6.2031 °,-1.103e-02
3.459 s,720.0 m,651.2 km/h,0.53 mach,-2716.284 mm,-0.2130 °,0.000 mm,0.0000 °,731.1 m,4.7158 °,-1.185e-02
3.968 s,810.0 m,626.7 km/h,0.51 mach,-12270.056 mm,-0.8569 °,0.000 mm,0.0000 °,822.5 m,3.1090 °,-1.243e-02
4.495 s,900.0 m,603.6 km/h,0.49 mach,-24414.624 mm,-1.5375 °,0.000 mm,0.0000 °,913.9 m,1.3756 °,-1.277e-02
