time,distance,velocity,mach,height,target_drop,drop_adj,windage,windage_adj,look_distance,angle,density_factor,drag,energy,ogw,flag
0.895 s,214.0,824.4 km/h,0.67 mach,-2023.316,-2023.316 mm,-0.5417 °,0.000 mm,0.0000 °,214.0 m,-1.6098 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.899 s,215.0,824.1 km/h,0.67 mach,-2051.536,-2051.536 mm,-0.5467 °,0.000 mm,0.0000 °,215.0 m,-1.6205 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.904 s,216.0,823.7 km/h,0.67 mach,-2079.944,-2079.944 mm,-0.5517 °,0.000 mm,0.0000 °,216.0 m,-1.6312 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.908 s,217.0,823.4 km/h,0.67 mach,-2108.539,-2108.539 mm,-0.5567 °,0.000 mm,0.0000 °,217.0 m,-1.6419 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.912 s,218.0,823.1 km/h,0.67 mach,-2137.321,-2137.321 mm,-0.5617 °,0.000 mm,0.0000 °,218.0 m,-1.6527 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.917 s,219.0,822.7 km/h,0.67 mach,-2166.291,-2166.291 mm,-0.5667 °,0.000 mm,0.0000 °,219.0 m,-1.6634 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.921 s,220.0,822.4 km/h,0.67 mach,-2195.45,-2195.450 mm,-0.5718 °,0.000 mm,0.0000 °,220.0 m,-1.6742 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.926 s,221.0,822.1 km/h,0.67 mach,-2224.796,-2224.796 mm,-0.5768 °,0.000 mm,0.0000 °,221.0 m,-1.6850 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.930 s,222.0,821.7 km/h,0.67 mach,-2254.331,-2254.331 mm,-0.5818 °,0.000 mm,0.0000 °,222.0 m,-1.6958 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.934 s,223.0,821.4 km/h,0.67 mach,-2284.054,-2284.054 mm,-0.5868 °,0.000 mm,0.0000 °,223.0 m,-1.7066 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.939 s,224.0,821.1 km/h,0.67 mach,-2313.965,-2313.965 mm,-0.5919 °,0.000 mm,0.0000 °,224.0 m,-1.7174 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.943 s,225.0,820.7 km/h,0.67 mach,-2344.066,-2344.066 mm,-0.5969 °,0.000 mm,0.0000 °,225.0 m,-1.7282 °,2.173e-05,0.094,0 J,0.000 kg,RANGE
0.948 s,226.0,820.4 km/h,0.67 mach,-2374.355,-2374.355 mm,-0.6019 °,0.000 mm,0.0000 °,226.0 m,-1.7390 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.952 s,227.0,820.1 km/h,0.67 mach,-2404.833,-2404.833 mm,-0.6070 °,0.000 mm,0.0000 °,227.0 m,-1.7498 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.956 s,228.0,819.7 km/h,0.67 mach,-2435.501,-2435.501 mm,-0.6120 °,0.000 mm,0.0000 °,228.0 m,-1.7606 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.961 s,229.0,819.4 km/h,0.67 mach,-2466.358,-2466.358 mm,-0.6171 °,0.000 mm,0.0000 °,229.0 m,-1.7715 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.965 s,230.0,819.1 km/h,0.67 mach,-2497.404,-2497.404 mm,-0.6221 °,0.000 mm,0.0000 °,230.0 m,-1.7823 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.970 s,231.0,818.7 km/h,0.67 mach,-2528.64,-2528.640 mm,-0.6272 °,0.000 mm,0.0000 °,231.0 m,-1.7932 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.974 s,232.0,818.4 km/h,0.67 mach,-2560.066,-2560.066 mm,-0.6322 °,0.000 mm,0.0000 °,232.0 m,-1.8041 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.978 s,233.0,818.1 km/h,0.67 mach,-2591.682,-2591.682 mm,-0.6373 °,0.000 mm,0.0000 °,233.0 m,-1.8149 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.983 s,234.0,817.8 km/h,0.67 mach,-2623.488,-2623.488 mm,-0.6423 °,0.000 mm,0.0000 °,234.0 m,-1.8258 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.987 s,235.0,817.4 km/h,0.67 mach,-2655.484,-2655.484 mm,-0.6474 °,0.000 mm,0.0000 °,235.0 m,-1.8367 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.992 s,236.0,817.1 km/h,0.67 mach,-2687.671,-2687.671 mm,-0.6525 °,0.000 mm,0.0000 °,236.0 m,-1.8476 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
0.996 s,237.0,816.8 km/h,0.67 mach,-2720.048,-2720.048 mm,-0.6576 °,0.000 mm,0.0000 °,237.0 m,-1.8585 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.000 s,238.0,816.4 km/h,0.67 mach,-2752.616,-2752.616 mm,-0.6626 °,0.000 mm,0.0000 °,238.0 m,-1.8694 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.005 s,239.0,816.1 km/h,0.67 mach,-2785.375,-2785.375 mm,-0.6677 °,0.000 mm,0.0000 °,239.0 m,-1.8804 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.009 s,240.0,815.8 km/h,0.67 mach,-2818.325,-2818.325 mm,-0.6728 °,0.000 mm,0.0000 °,240.0 m,-1.8913 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.014 s,241.0,815.4 km/h,0.67 mach,-2851.466,-2851.466 mm,-0.6779 °,0.000 mm,0.0000 °,241.0 m,-1.9023 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.018 s,242.0,815.1 km/h,0.67 mach,-2884.799,-2884.799 mm,-0.6830 °,0.000 mm,0.0000 °,242.0 m,-1.9132 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.022 s,243.0,814.8 km/h,0.67 mach,-2918.323,-2918.323 mm,-0.6881 °,0.000 mm,0.0000 °,243.0 m,-1.9242 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.027 s,244.0,814.5 km/h,0.66 mach,-2952.039,-2952.039 mm,-0.6932 °,0.000 mm,0.0000 °,244.0 m,-1.9352 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.031 s,245.0,814.1 km/h,0.66 mach,-2985.947,-2985.947 mm,-0.6983 °,0.000 mm,0.0000 °,245.0 m,-1.9461 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.036 s,246.0,813.8 km/h,0.66 mach,-3020.047,-3020.047 mm,-0.7034 °,0.000 mm,0.0000 °,246.0 m,-1.9571 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.040 s,247.0,813.5 km/h,0.66 mach,-3054.339,-3054.339 mm,-0.7085 °,0.000 mm,0.0000 °,247.0 m,-1.9681 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.045 s,248.0,813.1 km/h,0.66 mach,-3088.823,-3088.823 mm,-0.7136 °,0.000 mm,0.0000 °,248.0 m,-1.9792 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.049 s,249.0,812.8 km/h,0.66 mach,-3123.5,-3123.500 mm,-0.7187 °,0.000 mm,0.0000 °,249.0 m,-1.9902 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.053 s,250.0,812.5 km/h,0.66 mach,-3158.369,-3158.369 mm,-0.7238 °,0.000 mm,0.0000 °,250.0 m,-2.0012 °,2.173e-05,0.093,0 J,0.000 kg,RANGE
1.058 s,251.0,812.2 km/h,0.66 mach,-3193.431,-3193.431 mm,-0.7289 °,0.000 mm,0.0000 °,251.0 m,-2.0122 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.062 s,252.0,811.8 km/h,0.66 mach,-3228.686,-3228.686 mm,-0.7340 °,0.000 mm,0.0000 °,252.0 m,-2.0233 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.067 s,253.0,811.5 km/h,0.66 mach,-3264.135,-3264.135 mm,-0.7392 °,0.000 mm,0.0000 °,253.0 m,-2.0343 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.071 s,254.0,811.2 km/h,0.66 mach,-3299.776,-3299.776 mm,-0.7443 °,0.000 mm,0.0000 °,254.0 m,-2.0454 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.076 s,255.0,810.8 km/h,0.66 mach,-3335.611,-3335.611 mm,-0.7494 °,0.000 mm,0.0000 °,255.0 m,-2.0565 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.080 s,256.0,810.5 km/h,0.66 mach,-3371.64,-3371.640 mm,-0.7546 °,0.000 mm,0.0000 °,256.0 m,-2.0676 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.084 s,257.0,810.2 km/h,0.66 mach,-3407.862,-3407.862 mm,-0.7597 °,0.000 mm,0.0000 °,257.0 m,-2.0786 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.089 s,258.0,809.9 km/h,0.66 mach,-3444.278,-3444.278 mm,-0.7648 °,0.000 mm,0.0000 °,258.0 m,-2.0897 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.093 s,259.0,809.5 km/h,0.66 mach,-3480.889,-3480.889 mm,-0.7700 °,0.000 mm,0.0000 °,259.0 m,-2.1008 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.098 s,260.0,809.2 km/h,0.66 mach,-3517.693,-3517.693 mm,-0.7751 °,0.000 mm,0.0000 °,260.0 m,-2.1120 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.102 s,261.0,808.9 km/h,0.66 mach,-3554.692,-3554.692 mm,-0.7803 °,0.000 mm,0.0000 °,261.0 m,-2.1231 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.107 s,262.0,808.6 km/h,0.66 mach,-3591.886,-3591.886 mm,-0.7854 °,0.000 mm,0.0000 °,262.0 m,-2.1342 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.111 s,263.0,808.2 km/h,0.66 mach,-3629.274,-3629.274 mm,-0.7906 °,0.000 mm,0.0000 °,263.0 m,-2.1454 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.116 s,264.0,807.9 km/h,0.66 mach,-3666.857,-3666.857 mm,-0.7958 °,0.000 mm,0.0000 °,264.0 m,-2.1565 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.120 s,265.0,807.6 km/h,0.66 mach,-3704.635,-3704.635 mm,-0.8009 °,0.000 mm,0.0000 °,265.0 m,-2.1677 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.125 s,266.0,807.3 km/h,0.66 mach,-3742.608,-3742.608 mm,-0.8061 °,0.000 mm,0.0000 °,266.0 m,-2.1789 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.129 s,267.0,806.9 km/h,0.66 mach,-3780.777,-3780.777 mm,-0.8113 °,0.000 mm,0.0000 °,267.0 m,-2.1900 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.134 s,268.0,806.6 km/h,0.66 mach,-3819.141,-3819.141 mm,-0.8164 °,0.000 mm,0.0000 °,268.0 m,-2.2012 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.138 s,269.0,806.3 km/h,0.66 mach,-3857.701,-3857.701 mm,-0.8216 °,0.000 mm,0.0000 °,269.0 m,-2.2124 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.142 s,270.0,806.0 km/h,0.66 mach,-3896.457,-3896.457 mm,-0.8268 °,0.000 mm,0.0000 °,270.0 m,-2.2236 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.147 s,271.0,805.6 km/h,0.66 mach,-3935.408,-3935.408 mm,-0.8320 °,0.000 mm,0.0000 °,271.0 m,-2.2348 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.151 s,272.0,805.3 km/h,0.66 mach,-3974.556,-3974.556 mm,-0.8372 °,0.000 mm,0.0000 °,272.0 m,-2.2461 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.156 s,273.0,805.0 km/h,0.66 mach,-4013.9,-4013.900 mm,-0.8424 °,0.000 mm,0.0000 °,273.0 m,-2.2573 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.160 s,274.0,804.7 km/h,0.66 mach,-4053.441,-4053.441 mm,-0.8475 °,0.000 mm,0.0000 °,274.0 m,-2.2685 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.165 s,275.0,804.3 km/h,0.66 mach,-4093.178,-4093.178 mm,-0.8527 °,0.000 mm,0.0000 °,275.0 m,-2.2798 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.169 s,276.0,804.0 km/h,0.66 mach,-4133.112,-4133.112 mm,-0.8579 °,0.000 mm,0.0000 °,276.0 m,-2.2911 °,2.173e-05,0.092,0 J,0.000 kg,RANGE
1.174 s,277.0,803.7 km/h,0.66 mach,-4173.243,-4173.243 mm,-0.8631 °,0.000 mm,0.0000 °,277.0 m,-2.3023 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.178 s,278.0,803.4 km/h,0.66 mach,-4213.571,-4213.571 mm,-0.8684 °,0.000 mm,0.0000 °,278.0 m,-2.3136 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.183 s,279.0,803.1 km/h,0.66 mach,-4254.097,-4254.097 mm,-0.8736 °,0.000 mm,0.0000 °,279.0 m,-2.3249 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.187 s,280.0,802.7 km/h,0.66 mach,-4294.82,-4294.820 mm,-0.8788 °,0.000 mm,0.0000 °,280.0 m,-2.3362 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.192 s,281.0,802.4 km/h,0.65 mach,-4335.74,-4335.740 mm,-0.8840 °,0.000 mm,0.0000 °,281.0 m,-2.3475 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.196 s,282.0,802.1 km/h,0.65 mach,-4376.858,-4376.858 mm,-0.8892 °,0.000 mm,0.0000 °,282.0 m,-2.3588 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.201 s,283.0,801.8 km/h,0.65 mach,-4418.174,-4418.174 mm,-0.8944 °,0.000 mm,0.0000 °,283.0 m,-2.3701 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.205 s,284.0,801.4 km/h,0.65 mach,-4459.689,-4459.689 mm,-0.8996 °,0.000 mm,0.0000 °,284.0 m,-2.3815 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.210 s,285.0,801.1 km/h,0.65 mach,-4501.401,-4501.401 mm,-0.9049 °,0.000 mm,0.0000 °,285.0 m,-2.3928 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.214 s,286.0,800.8 km/h,0.65 mach,-4543.312,-4543.312 mm,-0.9101 °,0.000 mm,0.0000 °,286.0 m,-2.4042 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.219 s,287.0,800.5 km/h,0.65 mach,-4585.421,-4585.421 mm,-0.9153 °,0.000 mm,0.0000 °,287.0 m,-2.4155 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.223 s,288.0,800.2 km/h,0.65 mach,-4627.73,-4627.730 mm,-0.9206 °,0.000 mm,0.0000 °,288.0 m,-2.4269 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.228 s,289.0,799.8 km/h,0.65 mach,-4670.237,-4670.237 mm,-0.9258 °,0.000 mm,0.0000 °,289.0 m,-2.4383 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.232 s,290.0,799.5 km/h,0.65 mach,-4712.943,-4712.943 mm,-0.9311 °,0.000 mm,0.0000 °,290.0 m,-2.4497 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.237 s,291.0,799.2 km/h,0.65 mach,-4755.848,-4755.848 mm,-0.9363 °,0.000 mm,0.0000 °,291.0 m,-2.4611 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.241 s,292.0,798.9 km/h,0.65 mach,-4798.953,-4798.953 mm,-0.9416 °,0.000 mm,0.0000 °,292.0 m,-2.4725 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.246 s,293.0,798.5 km/h,0.65 mach,-4842.258,-4842.258 mm,-0.9468 °,0.000 mm,0.0000 °,293.0 m,-2.4839 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.250 s,294.0,798.2 km/h,0.65 mach,-4885.762,-4885.762 mm,-0.9521 °,0.000 mm,0.0000 °,294.0 m,-2.4953 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.255 s,295.0,797.9 km/h,0.65 mach,-4929.466,-4929.466 mm,-0.9573 °,0.000 mm,0.0000 °,295.0 m,-2.5068 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.259 s,296.0,797.6 km/h,0.65 mach,-4973.37,-4973.370 mm,-0.9626 °,0.000 mm,0.0000 °,296.0 m,-2.5182 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.264 s,297.0,797.3 km/h,0.65 mach,-5017.474,-5017.474 mm,-0.9679 °,0.000 mm,0.0000 °,297.0 m,-2.5296 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.268 s,298.0,796.9 km/h,0.65 mach,-5061.779,-5061.779 mm,-0.9731 °,0.000 mm,0.0000 °,298.0 m,-2.5411 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.273 s,299.0,796.6 km/h,0.65 mach,-5106.284,-5106.284 mm,-0.9784 °,0.000 mm,0.0000 °,299.0 m,-2.5526 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.277 s,300.0,796.3 km/h,0.65 mach,-5150.99,-5150.990 mm,-0.9837 °,0.000 mm,0.0000 °,300.0 m,-2.5641 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.282 s,301.0,796.0 km/h,0.65 mach,-5195.897,-5195.897 mm,-0.9889 °,0.000 mm,0.0000 °,301.0 m,-2.5756 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.286 s,302.0,795.7 km/h,0.65 mach,-5241.005,-5241.005 mm,-0.9942 °,0.000 mm,0.0000 °,302.0 m,-2.5871 °,2.173e-05,0.091,0 J,0.000 kg,RANGE
1.291 s,303.0,795.3 km/h,0.65 mach,-5286.314,-5286.314 mm,-0.9995 °,0.000 mm,0.0000 °,303.0 m,-2.5986 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.296 s,304.0,795.0 km/h,0.65 mach,-5331.824,-5331.824 mm,-1.0048 °,0.000 mm,0.0000 °,304.0 m,-2.6101 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.300 s,305.0,794.7 km/h,0.65 mach,-5377.536,-5377.536 mm,-1.0101 °,0.000 mm,0.0000 °,305.0 m,-2.6216 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.305 s,306.0,794.4 km/h,0.65 mach,-5423.449,-5423.449 mm,-1.0154 °,0.000 mm,0.0000 °,306.0 m,-2.6331 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.309 s,307.0,794.1 km/h,0.65 mach,-5469.565,-5469.565 mm,-1.0207 °,0.000 mm,0.0000 °,307.0 m,-2.6447 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.314 s,308.0,793.8 km/h,0.65 mach,-5515.883,-5515.883 mm,-1.0260 °,0.000 mm,0.0000 °,308.0 m,-2.6562 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.318 s,309.0,793.4 km/h,0.65 mach,-5562.402,-5562.402 mm,-1.0313 °,0.000 mm,0.0000 °,309.0 m,-2.6678 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.323 s,310.0,793.1 km/h,0.65 mach,-5609.124,-5609.124 mm,-1.0366 °,0.000 mm,0.0000 °,310.0 m,-2.6794 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.327 s,311.0,792.8 km/h,0.65 mach,-5656.049,-5656.049 mm,-1.0419 °,0.000 mm,0.0000 °,311.0 m,-2.6910 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.332 s,312.0,792.5 km/h,0.65 mach,-5703.176,-5703.176 mm,-1.0472 °,0.000 mm,0.0000 °,312.0 m,-2.7025 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.336 s,313.0,792.2 km/h,0.65 mach,-5750.506,-5750.506 mm,-1.0525 °,0.000 mm,0.0000 °,313.0 m,-2.7141 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.341 s,314.0,791.9 km/h,0.65 mach,-5798.04,-5798.040 mm,-1.0579 °,0.000 mm,0.0000 °,314.0 m,-2.7258 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.345 s,315.0,791.5 km/h,0.65 mach,-5845.776,-5845.776 mm,-1.0632 °,0.000 mm,0.0000 °,315.0 m,-2.7374 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.350 s,316.0,791.2 km/h,0.65 mach,-5893.716,-5893.716 mm,-1.0685 °,0.000 mm,0.0000 °,316.0 m,-2.7490 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.355 s,317.0,790.9 km/h,0.65 mach,-5941.859,-5941.859 mm,-1.0738 °,0.000 mm,0.0000 °,317.0 m,-2.7606 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.359 s,318.0,790.6 km/h,0.65 mach,-5990.206,-5990.206 mm,-1.0792 °,0.000 mm,0.0000 °,318.0 m,-2.7723 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.364 s,319.0,790.3 km/h,0.65 mach,-6038.757,-6038.757 mm,-1.0845 °,0.000 mm,0.0000 °,319.0 m,-2.7839 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.368 s,320.0,790.0 km/h,0.64 mach,-6087.511,-6087.511 mm,-1.0898 °,0.000 mm,0.0000 °,320.0 m,-2.7956 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.373 s,321.0,789.6 km/h,0.64 mach,-6136.471,-6136.471 mm,-1.0952 °,0.000 mm,0.0000 °,321.0 m,-2.8073 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.377 s,322.0,789.3 km/h,0.64 mach,-6185.634,-6185.634 mm,-1.1005 °,0.000 mm,0.0000 °,322.0 m,-2.8190 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.382 s,323.0,789.0 km/h,0.64 mach,-6235.002,-6235.002 mm,-1.1059 °,0.000 mm,0.0000 °,323.0 m,-2.8307 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.387 s,324.0,788.7 km/h,0.64 mach,-6284.574,-6284.574 mm,-1.1112 °,0.000 mm,0.0000 °,324.0 m,-2.8424 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.391 s,325.0,788.4 km/h,0.64 mach,-6334.352,-6334.352 mm,-1.1166 °,0.000 mm,0.0000 °,325.0 m,-2.8541 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.396 s,326.0,788.1 km/h,0.64 mach,-6384.334,-6384.334 mm,-1.1219 °,0.000 mm,0.0000 °,326.0 m,-2.8658 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.400 s,327.0,787.7 km/h,0.64 mach,-6434.522,-6434.522 mm,-1.1273 °,0.000 mm,0.0000 °,327.0 m,-2.8775 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.405 s,328.0,787.4 km/h,0.64 mach,-6484.915,-6484.915 mm,-1.1327 °,0.000 mm,0.0000 °,328.0 m,-2.8893 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.409 s,329.0,787.1 km/h,0.64 mach,-6535.514,-6535.514 mm,-1.1380 °,0.000 mm,0.0000 °,329.0 m,-2.9010 °,2.173e-05,0.090,0 J,0.000 kg,RANGE
1.414 s,330.0,786.8 km/h,0.64 mach,-6586.318,-6586.318 mm,-1.1434 °,0.000 mm,0.0000 °,330.0 m,-2.9128 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.419 s,331.0,786.5 km/h,0.64 mach,-6637.328,-6637.328 mm,-1.1488 °,0.000 mm,0.0000 °,331.0 m,-2.9246 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.423 s,332.0,786.2 km/h,0.64 mach,-6688.545,-6688.545 mm,-1.1541 °,0.000 mm,0.0000 °,332.0 m,-2.9363 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.428 s,333.0,785.9 km/h,0.64 mach,-6739.967,-6739.967 mm,-1.1595 °,0.000 mm,0.0000 °,333.0 m,-2.9481 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.432 s,334.0,785.5 km/h,0.64 mach,-6791.596,-6791.596 mm,-1.1649 °,0.000 mm,0.0000 °,334.0 m,-2.9599 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.437 s,335.0,785.2 km/h,0.64 mach,-6843.431,-6843.431 mm,-1.1703 °,0.000 mm,0.0000 °,335.0 m,-2.9717 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.442 s,336.0,784.9 km/h,0.64 mach,-6895.474,-6895.474 mm,-1.1757 °,0.000 mm,0.0000 °,336.0 m,-2.9835 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.446 s,337.0,784.6 km/h,0.64 mach,-6947.723,-6947.723 mm,-1.1811 °,0.000 mm,0.0000 °,337.0 m,-2.9954 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.451 s,338.0,784.3 km/h,0.64 mach,-7000.179,-7000.179 mm,-1.1865 °,0.000 mm,0.0000 °,338.0 m,-3.0072 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.455 s,339.0,784.0 km/h,0.64 mach,-7052.842,-7052.842 mm,-1.1919 °,0.000 mm,0.0000 °,339.0 m,-3.0190 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.460 s,340.0,783.7 km/h,0.64 mach,-7105.713,-7105.713 mm,-1.1973 °,0.000 mm,0.0000 °,340.0 m,-3.0309 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.465 s,341.0,783.4 km/h,0.64 mach,-7158.791,-7158.791 mm,-1.2027 °,0.000 mm,0.0000 °,341.0 m,-3.0428 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.469 s,342.0,783.0 km/h,0.64 mach,-7212.077,-7212.077 mm,-1.2081 °,0.000 mm,0.0000 °,342.0 m,-3.0546 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.474 s,343.0,782.7 km/h,0.64 mach,-7265.571,-7265.571 mm,-1.2135 °,0.000 mm,0.0000 °,343.0 m,-3.0665 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.478 s,344.0,782.4 km/h,0.64 mach,-7319.273,-7319.273 mm,-1.2189 °,0.000 mm,0.0000 °,344.0 m,-3.0784 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.483 s,345.0,782.1 km/h,0.64 mach,-7373.183,-7373.183 mm,-1.2243 °,0.000 mm,0.0000 °,345.0 m,-3.0903 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.488 s,346.0,781.8 km/h,0.64 mach,-7427.302,-7427.302 mm,-1.2297 °,0.000 mm,0.0000 °,346.0 m,-3.1022 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.492 s,347.0,781.5 km/h,0.64 mach,-7481.629,-7481.629 mm,-1.2352 °,0.000 mm,0.0000 °,347.0 m,-3.1141 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
1.497 s,348.0,781.2 km/h,0.64 mach,-7536.165,-7536.165 mm,-1.2406 °,0.000 mm,0.0000 °,348.0 m,-3.1261 °,2.173e-05,0.089,0 J,0.000 kg,RANGE
