time,distance,velocity,mach,target_drop,drop_adj,windage,windage_adj,look_distance,angle,density_factor
0.000 s,0.0 m,900.0 km/h,0.73 mach,-99.619 mm,0.0000 °,0.000 mm,0.0000 °,0.0 m,9.2229 °,2.173e-05
0.393 s,95.0 m,862.9 km/h,0.70 mach,6241.912 mm,3.7237 °,0.000 mm,0.0000 °,95.4 m,8.3317 °,-1.379e-03
0.801 s,190.0 m,827.7 km/h,0.68 mach,11015.023 mm,3.2888 °,0.000 mm,0.0000 °,190.7 m,7.3628 °,-2.635e-03
1.226 s,285.0 m,794.3 km/h,0.65 mach,14091.383 mm,2.8078 °,0.000 mm,0.0000 °,286.1 m,6.3101 °,-3.725e-03
1.668 s,380.0 m,762.4 km/h,0.62 mach,15332.993 mm,2.2938 °,0.000 mm,0.0000 °,381.5 m,5.1671 °,-4.639e-03
2.127 s,475.0 m,732.2 km/h,0.60 mach,14591.377 mm,1.7481 °,0.000 mm,0.0000 °,476.8 m,3.9273 °,-5.364e-03
2.605 s,570.0 m,703.5 km/h,0.57 mach,11706.695 mm,1.1700 °,0.000 mm,0.0000 °,572.2 m,2.5836 °,-5.881e-03
3.101 s,665.0 m,676.3 km/h,0.55 mach,6506.746 mm,0.5580 °,0.000 mm,0.0000 °,667.5 m,1.1288 °,-6.177e-03
3.617 s,760.0 m,650.6 km/h,0.53 mach,-1194.146 mm,-0.0897 °,0.000 mm,0.0000 °,762.9 m,-0.4441 °,-6.232e-03
4.152 s,855.0 m,626.4 km/h,0.51 mach,-11596.409 mm,-0.7750 °,0.000 mm,0.0000 °,858.3 m,-2.1422 °,-6.027e-03
4.710 s,950.0 m,603.7 km/h,0.49 mach,-24916.703 mm,-1.5001 °,0.000 mm,0.0000 °,953.6 m,-3.9724 °,-5.544e-03
